DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
2005-01-14,4147.0,0.3,7.6,0.7,1.3,0.0
2005-01-15,4838.0,-2.3,4.5,0.57,2.5,0.1
2005-01-16,4493.0,-2.1,4.6,0.56,2.3,0.0
2005-01-17,1728.0,2.4,6.9,0.86,5.3,5.4
2005-01-18,1382.0,1.5,7.8,0.78,3.7,9.0
2005-01-19,2765.0,2.5,7.0,0.73,4.5,1.2
2005-01-20,1037.0,5.7,10.6,1.03,7.7,13.2
2005-01-21,3283.0,1.9,8.6,0.67,6.0,4.1
2005-01-22,4234.0,-0.1,7.5,0.691,2.4,1.6
2005-01-23,4234.0,-2.4,6.1,0.601,2.5,2.6
2005-01-24,4493.0,-3.7,2.7,0.52,2.1,1.6
2005-01-25,3802.0,-5.8,1.2,0.473,1.7,0.6
2005-01-26,4579.0,-6.8,1.4,0.46,1.8,0.0
2005-01-27,1901.0,-2.2,1.8,0.6,1.2,0.0
2005-01-28,1382.0,0.3,2.4,0.648,1.3,0.0
2005-01-29,2592.0,-2.3,2.2,0.59,1.8,0.2
2005-01-30,1987.0,2.0,7.4,0.87,1.9,1.6
2005-01-31,1469.0,2.2,8.1,0.91,4.2,5.0
2005-02-01,3888.0,1.8,6.6,0.72,2.9,0.2
2005-02-02,3197.0,4.2,8.2,0.88,3.3,1.7
2005-02-03,5011.0,4.8,8.6,0.85,2.1,0.0
2005-02-04,3715.0,2.0,8.8,0.82,1.7,0.0
2005-02-05,6739.0,-0.1,4.8,0.52,3.2,0.0
2005-02-06,6998.0,-2.9,6.6,0.56,2.9,0.0
2005-02-07,7171.0,-4.2,4.4,0.48,2.0,0.0
2005-02-08,6566.0,-5.1,5.1,0.57,1.8,0.0
2005-02-09,5270.0,0.4,9.7,0.81,3.1,1.1
2005-02-10,605.0,5.3,8.9,0.98,5.2,17.6
2005-02-11,3629.0,4.9,9.5,0.89,1.3,2.8
2005-02-12,1382.0,4.3,11.7,0.99,7.7,21.6
2005-02-13,5098.0,1.1,5.5,0.69,5.2,7.8
2005-02-14,4666.0,0.1,6.7,0.68,3.8,3.1
2005-02-15,1728.0,-0.8,2.7,0.56,3.2,0.0
2005-02-16,7171.0,-2.4,2.1,0.44,2.6,0.0
2005-02-17,4147.0,-1.3,1.9,0.481,1.0,0.0
2005-02-18,1987.0,-0.1,4.0,0.55,3.7,1.8
2005-02-19,4925.0,-1.1,6.4,0.67,2.4,3.6
2005-02-20,5616.0,-0.9,5.6,0.643,2.6,0.9
2005-02-21,6480.0,0.2,5.0,0.59,3.2,2.9
2005-02-22,4579.0,-1.6,2.3,0.49,3.6,0.6
2005-02-23,2678.0,-4.3,1.1,0.54,1.6,0.8
2005-02-24,6134.0,-2.4,2.3,0.52,2.3,0.4
2005-02-25,7171.0,-4.7,3.4,0.53,1.4,0.0
2005-02-26,1901.0,-1.2,3.2,0.604,2.1,0.0
2005-02-27,9763.0,-6.3,-0.4,0.31,3.1,0.0
2005-02-28,11664.0,-9.0,0.6,0.28,2.2,0.0
2005-03-01,3197.0,-4.0,0.4,0.45,5.2,1.3
